# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103050
# River:                 RIO CAUCA
# Station:               LA SALVAJINA
# Country:               CO
# Latitude (DD):       2.85
# Longitude (DD):      -76.72
# Catchment area (km²):      3853.0
# Altitude (m ASL):        2320.0
# Next downstream station:      3103100
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1946-08 - 1980-12
# No. of years:          35
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 12572
# DATA
YYYY-MM-DD;hh:mm; Value
1946-08-01;--:--;     61.800
1946-08-02;--:--;     55.300
1946-08-03;--:--;     60.500
1946-08-04;--:--;     70.800
1946-08-05;--:--;    118.000
1946-08-06;--:--;    119.200
1946-08-07;--:--;    110.800
1946-08-08;--:--;    103.100
1946-08-09;--:--;     93.400
1946-08-10;--:--;     90.200
1946-08-11;--:--;    128.000
1946-08-12;--:--;    106.000
1946-08-13;--:--;     80.000
1946-08-14;--:--;     72.000
1946-08-15;--:--;    110.000
1946-08-16;--:--;    109.000
1946-08-17;--:--;    148.000
1946-08-18;--:--;    168.000
1946-08-19;--:--;    103.000
1946-08-20;--:--;    112.000
1946-08-21;--:--;     79.000
1946-08-22;--:--;     71.000
1946-08-23;--:--;     68.000
1946-08-24;--:--;     58.000
1946-08-25;--:--;     55.000
1946-08-26;--:--;    128.000
1946-08-27;--:--;     78.000
1946-08-28;--:--;     58.000
1946-08-29;--:--;     52.000
1946-08-30;--:--;     55.000
1946-08-31;--:--;     39.000
1946-09-01;--:--;     40.000
1946-09-02;--:--;     43.000
1946-09-03;--:--;     42.000
1946-09-04;--:--;     63.000
1946-09-05;--:--;     44.000
1946-09-06;--:--;     44.000
1946-09-07;--:--;     42.000
1946-09-08;--:--;     47.000
1946-09-09;--:--;     38.000
1946-09-10;--:--;     34.000
1946-09-11;--:--;     34.000
1946-09-12;--:--;     41.000
1946-09-13;--:--;     42.000
1946-09-14;--:--;     50.000
1946-09-15;--:--;     46.000
1946-09-16;--:--;     38.000
1946-09-17;--:--;     34.000
1946-09-18;--:--;     36.000
1946-09-19;--:--;     32.000
1946-09-20;--:--;     30.000
1946-09-21;--:--;     32.000
1946-09-22;--:--;     41.000
1946-09-23;--:--;     50.000
1946-09-24;--:--;     34.000
1946-09-25;--:--;     30.000
1946-09-26;--:--;     40.000
1946-09-27;--:--;     41.000
1946-09-28;--:--;     40.000
1946-09-29;--:--;     33.000
1946-09-30;--:--;     30.000
1946-10-01;--:--;     40.000
1946-10-02;--:--;     40.000
1946-10-03;--:--;     42.000
1946-10-04;--:--;     46.000
1946-10-05;--:--;     36.000
1946-10-06;--:--;     37.000
1946-10-07;--:--;     86.000
1946-10-08;--:--;     44.000
1946-10-09;--:--;     43.000
1946-10-10;--:--;     50.000
1946-10-11;--:--;     41.000
1946-10-12;--:--;     40.000
1946-10-13;--:--;     54.000
1946-10-14;--:--;     42.000
1946-10-15;--:--;     52.000
1946-10-16;--:--;     50.000
1946-10-17;--:--;     62.000
1946-10-18;--:--;     71.000
1946-10-19;--:--;     71.000
1946-10-20;--:--;     58.000
1946-10-21;--:--;     48.000
1946-10-22;--:--;     50.000
1946-10-23;--:--;     42.000
