# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103400
# River:                 RIO NARANJOS
# Station:               SAN AGUSTIN
# Country:               CO
# Latitude (DD):       1.87
# Longitude (DD):      -76.23
# Catchment area (km²):      180.0
# Altitude (m ASL):        1272.0
# Next downstream station:      3103450
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     14.000
1978-01-02;--:--;     11.000
1978-01-03;--:--;      9.000
1978-01-04;--:--;      9.000
1978-01-05;--:--;      9.000
1978-01-06;--:--;      9.000
1978-01-07;--:--;      9.000
1978-01-08;--:--;      9.000
1978-01-09;--:--;      8.000
1978-01-10;--:--;     15.000
1978-01-11;--:--;     18.000
1978-01-12;--:--;     12.000
1978-01-13;--:--;      8.000
1978-01-14;--:--;      8.000
1978-01-15;--:--;      8.000
1978-01-16;--:--;      7.000
1978-01-17;--:--;      7.000
1978-01-18;--:--;      7.000
1978-01-19;--:--;      7.000
1978-01-20;--:--;      7.000
1978-01-21;--:--;      7.000
1978-01-22;--:--;      7.000
1978-01-23;--:--;      7.000
1978-01-24;--:--;      7.000
1978-01-25;--:--;      8.000
1978-01-26;--:--;      8.000
1978-01-27;--:--;      8.000
1978-01-28;--:--;      7.000
1978-01-29;--:--;     17.000
1978-01-30;--:--;     28.000
1978-01-31;--:--;     23.000
1978-02-01;--:--;     16.000
1978-02-02;--:--;     13.000
1978-02-03;--:--;     10.000
1978-02-04;--:--;      9.000
1978-02-05;--:--;      8.000
1978-02-06;--:--;     10.000
1978-02-07;--:--;      9.000
1978-02-08;--:--;     16.000
1978-02-09;--:--;     14.000
1978-02-10;--:--;     10.000
1978-02-11;--:--;      8.000
1978-02-12;--:--;      8.000
1978-02-13;--:--;      8.000
1978-02-14;--:--;      7.000
1978-02-15;--:--;      7.000
1978-02-16;--:--;      7.000
1978-02-17;--:--;      7.000
1978-02-18;--:--;      7.000
1978-02-19;--:--;      7.000
1978-02-20;--:--;      6.000
1978-02-21;--:--;      6.000
1978-02-22;--:--;      6.000
1978-02-23;--:--;      6.000
1978-02-24;--:--;      6.000
1978-02-25;--:--;      6.000
1978-02-26;--:--;      6.000
1978-02-27;--:--;      6.000
1978-02-28;--:--;      6.000
1978-03-01;--:--;     12.000
1978-03-02;--:--;      9.000
1978-03-03;--:--;      7.000
1978-03-04;--:--;      6.000
1978-03-05;--:--;      6.000
1978-03-06;--:--;      6.000
1978-03-07;--:--;      8.000
1978-03-08;--:--;     19.000
1978-03-09;--:--;     17.000
1978-03-10;--:--;     12.000
1978-03-11;--:--;     18.000
1978-03-12;--:--;     11.000
1978-03-13;--:--;      8.000
1978-03-14;--:--;      7.000
1978-03-15;--:--;      7.000
1978-03-16;--:--;      7.000
1978-03-17;--:--;      7.000
1978-03-18;--:--;     10.000
1978-03-19;--:--;      9.000
1978-03-20;--:--;     10.000
1978-03-21;--:--;      9.000
