# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103500
# River:                 RIO MAGDALENA
# Station:               PUERTO BERRIO
# Country:               CO
# Latitude (DD):       6.5
# Longitude (DD):      -74.38
# Catchment area (km²):      74410.0
# Altitude (m ASL):        1570.0
# Next downstream station:      3103300
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-01 - 2024-08
# No. of years:          89
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 32380
# DATA
YYYY-MM-DD;hh:mm; Value
1936-01-01;--:--;   1966.000
1936-01-02;--:--;   1966.000
1936-01-03;--:--;   1810.000
1936-01-04;--:--;   1702.000
1936-01-05;--:--;   1714.000
1936-01-06;--:--;   1573.000
1936-01-07;--:--;   1469.000
1936-01-08;--:--;   1410.000
1936-01-09;--:--;   1380.000
1936-01-10;--:--;   1350.000
1936-01-11;--:--;   1300.000
1936-01-12;--:--;   1625.000
1936-01-13;--:--;   1798.000
1936-01-14;--:--;   1942.000
1936-01-15;--:--;   1954.000
1936-01-16;--:--;   1906.000
1936-01-17;--:--;   1599.000
1936-01-18;--:--;   1638.000
1936-01-19;--:--;   1380.000
1936-01-20;--:--;   1320.000
1936-01-21;--:--;   1469.000
1936-01-22;--:--;   1280.000
1936-01-23;--:--;   1190.000
1936-01-24;--:--;   1270.000
1936-01-25;--:--;   1677.000
1936-01-26;--:--;   1280.000
1936-01-27;--:--;   1370.000
1936-01-28;--:--;   1270.000
1936-01-29;--:--;   1180.000
1936-01-30;--:--;   1180.000
1936-01-31;--:--;   1150.000
1936-02-01;--:--;   1084.000
1936-02-02;--:--;   1057.000
1936-02-03;--:--;   1039.000
1936-02-04;--:--;   1039.000
1936-02-05;--:--;   1048.000
1936-02-06;--:--;   1004.000
1936-02-07;--:--;    996.000
1936-02-08;--:--;    979.000
1936-02-09;--:--;   1048.000
1936-02-10;--:--;   1057.000
1936-02-11;--:--;   1111.000
1936-02-12;--:--;   1057.000
1936-02-13;--:--;   1057.000
