# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103110
# River:                 RIO SAN EUGENIO
# Station:               LA REINA
# Country:               CO
# Latitude (DD):       4.87
# Longitude (DD):      -75.62
# Catchment area (km²):      172.0
# Altitude (m ASL):        1630.0
# Next downstream station:      3103100
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1971-09 - 1994-10
# No. of years:          24
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 8462
# DATA
YYYY-MM-DD;hh:mm; Value
1971-09-01;--:--;     43.100
1971-09-02;--:--;      4.980
1971-09-03;--:--;      4.560
1971-09-04;--:--;      5.620
1971-09-05;--:--;      4.170
1971-09-06;--:--;      3.750
1971-09-07;--:--;     19.850
1971-09-08;--:--;      8.570
1971-09-09;--:--;      6.600
1971-09-10;--:--;      4.520
1971-09-11;--:--;      3.890
1971-09-12;--:--;      3.340
1971-09-13;--:--;      5.620
1971-09-14;--:--;      3.680
1971-09-15;--:--;      5.210
1971-09-16;--:--;      3.820
1971-09-17;--:--;      4.920
1971-09-18;--:--;      4.100
1971-09-19;--:--;      3.610
1971-09-20;--:--;      3.680
1971-09-21;--:--;      3.820
1971-09-22;--:--;      3.960
1971-09-23;--:--;      4.910
1971-09-24;--:--;      3.420
1971-09-25;--:--;      3.110
1971-09-26;--:--;      3.000
1971-09-27;--:--;      3.050
1971-09-28;--:--;      2.820
1971-09-29;--:--;      2.940
1971-09-30;--:--;      6.080
1971-10-01;--:--;      5.870
1971-10-02;--:--;      4.380
1971-10-03;--:--;      7.090
1971-10-04;--:--;      8.600
1971-10-05;--:--;      6.210
1971-10-06;--:--;      4.960
1971-10-07;--:--;      7.430
1971-10-08;--:--;      4.530
1971-10-09;--:--;      6.440
1971-10-10;--:--;      5.660
1971-10-11;--:--;      5.660
1971-10-12;--:--;      5.900
1971-10-13;--:--;      4.820
1971-10-14;--:--;      4.780
1971-10-15;--:--;      4.390
1971-10-16;--:--;      4.730
1971-10-17;--:--;      4.110
1971-10-18;--:--;      5.350
1971-10-19;--:--;      5.920
1971-10-20;--:--;      4.260
1971-10-21;--:--;      3.830
1971-10-22;--:--;      4.570
1971-10-23;--:--;      4.460
1971-10-24;--:--;      4.920
1971-10-25;--:--;      3.770
1971-10-26;--:--;      3.290
1971-10-27;--:--;      4.650
1971-10-28;--:--;      3.660
1971-10-29;--:--;      7.340
1971-10-30;--:--;      5.690
1971-10-31;--:--;     12.930
1971-11-01;--:--;     11.430
1971-11-02;--:--;      9.800
1971-11-03;--:--;      8.530
1971-11-04;--:--;      8.740
1971-11-05;--:--;      7.830
1971-11-06;--:--;      8.870
1971-11-07;--:--;      7.310
1971-11-08;--:--;      6.400
1971-11-09;--:--;     11.480
1971-11-10;--:--;      5.760
1971-11-11;--:--;      4.740
1971-11-12;--:--;      5.100
1971-11-13;--:--;      4.510
1971-11-14;--:--;      4.890
1971-11-15;--:--;      4.360
1971-11-16;--:--;      6.570
1971-11-17;--:--;      8.220
1971-11-18;--:--;     12.630
1971-11-19;--:--;      8.870
1971-11-20;--:--;      7.120
1971-11-21;--:--;      9.980
1971-11-22;--:--;      7.290
1971-11-23;--:--;      5.430
1971-11-24;--:--;      4.470
1971-11-25;--:--;      4.770
1971-11-26;--:--;      4.740
1971-11-27;--:--;      4.060
1971-11-28;--:--;      4.140
1971-11-29;--:--;      3.720
1971-11-30;--:--;      3.390
1971-12-01;--:--;      3.240
1971-12-02;--:--;      3.050
1971-12-03;--:--;      3.240
1971-12-04;--:--;      3.160
1971-12-05;--:--;      3.070
1971-12-06;--:--;      2.750
1971-12-07;--:--;      2.880
1971-12-08;--:--;      2.760
1971-12-09;--:--;      2.540
1971-12-10;--:--;      3.470
1971-12-11;--:--;      3.130
1971-12-12;--:--;      2.630
1971-12-13;--:--;      2.480
1971-12-14;--:--;      2.810
1971-12-15;--:--;      4.430
1971-12-16;--:--;      3.650
1971-12-17;--:--;      5.140
1971-12-18;--:--;      5.000
1971-12-19;--:--;      3.360
1971-12-20;--:--;      2.750
1971-12-21;--:--;      7.060
1971-12-22;--:--;      8.100
1971-12-23;--:--;      9.090
1971-12-24;--:--;      5.550
1971-12-25;--:--;      5.860
1971-12-26;--:--;      4.020
1971-12-27;--:--;      4.140
1971-12-28;--:--;      5.340
1971-12-29;--:--;      5.320
1971-12-30;--:--;      4.010
1971-12-31;--:--;      3.370
1972-01-01;--:--;      3.100
1972-01-02;--:--;      3.400
1972-01-03;--:--;      4.100
1972-01-04;--:--;      3.300
1972-01-05;--:--;      3.200
1972-01-06;--:--;      3.600
1972-01-07;--:--;      3.200
1972-01-08;--:--;      5.700
1972-01-09;--:--;      3.700
1972-01-10;--:--;      2.700
1972-01-11;--:--;      2.500
1972-01-12;--:--;      4.300
1972-01-13;--:--;      3.100
1972-01-14;--:--;      3.200
1972-01-15;--:--;      6.300
1972-01-16;--:--;      3.900
1972-01-17;--:--;      4.100
1972-01-18;--:--;      4.600
1972-01-19;--:--;      4.900
1972-01-20;--:--;      4.300
1972-01-21;--:--;      3.600
1972-01-22;--:--;      3.900
1972-01-23;--:--;      3.300
1972-01-24;--:--;      4.200
1972-01-25;--:--;      4.500
1972-01-26;--:--;      3.400
1972-01-27;--:--;      4.900
1972-01-28;--:--;      4.900
1972-01-29;--:--;      3.400
1972-01-30;--:--;      3.400
1972-01-31;--:--;      2.800
1972-02-01;--:--;      2.800
1972-02-02;--:--;      2.500
1972-02-03;--:--;      2.400
1972-02-04;--:--;      2.800
1972-02-05;--:--;      3.300
1972-02-06;--:--;     42.700
1972-02-07;--:--;     27.600
1972-02-08;--:--;      9.100
1972-02-09;--:--;      5.900
1972-02-10;--:--;      5.600
1972-02-11;--:--;      6.800
1972-02-12;--:--;      9.100
1972-02-13;--:--;     10.200
1972-02-14;--:--;      4.590
1972-02-15;--:--;      3.500
1972-02-16;--:--;      3.800
