# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103350
# River:                 RIO FUNDACION
# Station:               FUNDACION
# Country:               CO
# Latitude (DD):       10.5
# Longitude (DD):      -74.13
# Catchment area (km²):      992.0
# Altitude (m ASL):        55.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      8.000
1978-01-02;--:--;      8.000
1978-01-03;--:--;      7.000
1978-01-04;--:--;      8.000
1978-01-05;--:--;      8.000
1978-01-06;--:--;      7.000
1978-01-07;--:--;      7.000
1978-01-08;--:--;      7.000
1978-01-09;--:--;      7.000
1978-01-10;--:--;      7.000
1978-01-11;--:--;      7.000
1978-01-12;--:--;      7.000
1978-01-13;--:--;      7.000
1978-01-14;--:--;      7.000
1978-01-15;--:--;      7.000
1978-01-16;--:--;      7.000
1978-01-17;--:--;      7.000
1978-01-18;--:--;      6.000
1978-01-19;--:--;      6.000
1978-01-20;--:--;      6.000
1978-01-21;--:--;      7.000
1978-01-22;--:--;      6.000
1978-01-23;--:--;      6.000
1978-01-24;--:--;      8.000
1978-01-25;--:--;      8.000
1978-01-26;--:--;      6.000
1978-01-27;--:--;      8.000
1978-01-28;--:--;      6.000
1978-01-29;--:--;      7.000
1978-01-30;--:--;      6.000
1978-01-31;--:--;      6.000
1978-02-01;--:--;      7.000
1978-02-02;--:--;      8.000
1978-02-03;--:--;      8.000
1978-02-04;--:--;      8.000
1978-02-05;--:--;      8.000
1978-02-06;--:--;      8.000
1978-02-07;--:--;      8.000
1978-02-08;--:--;      9.000
1978-02-09;--:--;     13.000
1978-02-10;--:--;     11.000
1978-02-11;--:--;     10.000
1978-02-12;--:--;     12.000
1978-02-13;--:--;      8.000
1978-02-14;--:--;      8.000
1978-02-15;--:--;      8.000
1978-02-16;--:--;      7.000
1978-02-17;--:--;      7.000
1978-02-18;--:--;      6.000
1978-02-19;--:--;      6.000
1978-02-20;--:--;      6.000
1978-02-21;--:--;      6.000
1978-02-22;--:--;      6.000
1978-02-23;--:--;      6.000
1978-02-24;--:--;      6.000
1978-02-25;--:--;      7.000
1978-02-26;--:--;      6.000
1978-02-27;--:--;      6.000
1978-02-28;--:--;      6.000
1978-03-01;--:--;      6.000
1978-03-02;--:--;      7.000
1978-03-03;--:--;     13.000
1978-03-04;--:--;     14.000
1978-03-05;--:--;      8.000
1978-03-06;--:--;     10.000
1978-03-07;--:--;      9.000
1978-03-08;--:--;      6.000
1978-03-09;--:--;      7.000
1978-03-10;--:--;      6.000
1978-03-11;--:--;      6.000
1978-03-12;--:--;      6.000
1978-03-13;--:--;      6.000
1978-03-14;--:--;      6.000
1978-03-15;--:--;      6.000
1978-03-16;--:--;      6.000
1978-03-17;--:--;      6.000
1978-03-18;--:--;      5.000
1978-03-19;--:--;      6.000
1978-03-20;--:--;      5.000
1978-03-21;--:--;      5.000
1978-03-22;--:--;      6.000
1978-03-23;--:--;      6.000
1978-03-24;--:--;      7.000
1978-03-25;--:--;      7.000
1978-03-26;--:--;      8.000
1978-03-27;--:--;      8.000
1978-03-28;--:--;     22.000
1978-03-29;--:--;     14.000
1978-03-30;--:--;     11.000
1978-03-31;--:--;      8.000
1978-04-01;--:--;      8.000
1978-04-02;--:--;      7.000
1978-04-03;--:--;      6.000
1978-04-04;--:--;     14.000
1978-04-05;--:--;     27.000
1978-04-06;--:--;     14.000
1978-04-07;--:--;      9.000
1978-04-08;--:--;     23.000
1978-04-09;--:--;     19.000
1978-04-10;--:--;     17.000
1978-04-11;--:--;     14.000
1978-04-12;--:--;     21.000
1978-04-13;--:--;     34.000
1978-04-14;--:--;     12.000
1978-04-15;--:--;     28.000
1978-04-16;--:--;     21.000
1978-04-17;--:--;     19.000
1978-04-18;--:--;     23.000
1978-04-19;--:--;     28.000
1978-04-20;--:--;     99.000
1978-04-21;--:--;     42.000
1978-04-22;--:--;     37.000
1978-04-23;--:--;     40.000
1978-04-24;--:--;     49.000
1978-04-25;--:--;     55.000
1978-04-26;--:--;     45.000
1978-04-27;--:--;     35.000
1978-04-28;--:--;     29.000
1978-04-29;--:--;     33.000
1978-04-30;--:--;     21.000
1978-05-01;--:--;     35.000
1978-05-02;--:--;     19.000
1978-05-03;--:--;     31.000
1978-05-04;--:--;     48.000
1978-05-05;--:--;     27.000
1978-05-06;--:--;     27.000
1978-05-07;--:--;     17.000
1978-05-08;--:--;     16.000
1978-05-09;--:--;     21.000
1978-05-10;--:--;     27.000
1978-05-11;--:--;     16.000
1978-05-12;--:--;     12.000
1978-05-13;--:--;     14.000
1978-05-14;--:--;     20.000
1978-05-15;--:--;     22.000
1978-05-16;--:--;     41.000
1978-05-17;--:--;     29.000
1978-05-18;--:--;     22.000
1978-05-19;--:--;     24.000
1978-05-20;--:--;     30.000
1978-05-21;--:--;     24.000
1978-05-22;--:--;     33.000
1978-05-23;--:--;     33.000
1978-05-24;--:--;     23.000
1978-05-25;--:--;     25.000
1978-05-26;--:--;     70.000
1978-05-27;--:--;     54.000
1978-05-28;--:--;     92.000
1978-05-29;--:--;     56.000
1978-05-30;--:--;     58.000
1978-05-31;--:--;     42.000
1978-06-01;--:--;     21.000
1978-06-02;--:--;     39.000
1978-06-03;--:--;     38.000
1978-06-04;--:--;     26.000
1978-06-05;--:--;     34.000
1978-06-06;--:--;     30.000
1978-06-07;--:--;     29.000
1978-06-08;--:--;     23.000
1978-06-09;--:--;     17.000
1978-06-10;--:--;     27.000
1978-06-11;--:--;     19.000
1978-06-12;--:--;     52.000
1978-06-13;--:--;     52.000
1978-06-14;--:--;     29.000
1978-06-15;--:--;     31.000
1978-06-16;--:--;     20.000
1978-06-17;--:--;     19.000
1978-06-18;--:--;     17.000
1978-06-19;--:--;     20.000
1978-06-20;--:--;     21.000
1978-06-21;--:--;     24.000
1978-06-22;--:--;     18.000
1978-06-23;--:--;     15.000
1978-06-24;--:--;     20.000
1978-06-25;--:--;     23.000
1978-06-26;--:--;     21.000
1978-06-27;--:--;     16.000
1978-06-28;--:--;     25.000
1978-06-29;--:--;     27.000
1978-06-30;--:--;     19.000
1978-07-01;--:--;     13.000
1978-07-02;--:--;      8.000
1978-07-03;--:--;     13.000
1978-07-04;--:--;     15.000
1978-07-05;--:--;     15.000
1978-07-06;--:--;     15.000
1978-07-07;--:--;     27.000
1978-07-08;--:--;     17.000
1978-07-09;--:--;     36.000
1978-07-10;--:--;     19.000
1978-07-11;--:--;     16.000
1978-07-12;--:--;     15.000
1978-07-13;--:--;     12.000
1978-07-14;--:--;      8.000
1978-07-15;--:--;     13.000
1978-07-16;--:--;      6.000
1978-07-17;--:--;      5.000
1978-07-18;--:--;     21.000
1978-07-19;--:--;     19.000
1978-07-20;--:--;     35.000
1978-07-21;--:--;     27.000
1978-07-22;--:--;     21.000
1978-07-23;--:--;     16.000
1978-07-24;--:--;     17.000
1978-07-25;--:--;     15.000
1978-07-26;--:--;     12.000
1978-07-27;--:--;     19.000
1978-07-28;--:--;      8.000
1978-07-29;--:--;     13.000
1978-07-30;--:--;     12.000
1978-07-31;--:--;     12.000
1978-08-01;--:--;     19.000
1978-08-02;--:--;     23.000
1978-08-03;--:--;     28.000
1978-08-04;--:--;     18.000
1978-08-05;--:--;     16.000
1978-08-06;--:--;     30.000
1978-08-07;--:--;     28.000
1978-08-08;--:--;     26.000
1978-08-09;--:--;     16.000
1978-08-10;--:--;     22.000
1978-08-11;--:--;     18.000
1978-08-12;--:--;     21.000
1978-08-13;--:--;     45.000
1978-08-14;--:--;     21.000
1978-08-15;--:--;     18.000
1978-08-16;--:--;     21.000
1978-08-17;--:--;     20.000
1978-08-18;--:--;     17.000
1978-08-19;--:--;     16.000
1978-08-20;--:--;     13.000
1978-08-21;--:--;     17.000
1978-08-22;--:--;     13.000
1978-08-23;--:--;     18.000
1978-08-24;--:--;     19.000
1978-08-25;--:--;     35.000
1978-08-26;--:--;     22.000
1978-08-27;--:--;     18.000
1978-08-28;--:--;     18.000
1978-08-29;--:--;     19.000
1978-08-30;--:--;     23.000
1978-08-31;--:--;     13.000
1978-09-01;--:--;     28.000
1978-09-02;--:--;     21.000
1978-09-03;--:--;     33.000
1978-09-04;--:--;     25.000
1978-09-05;--:--;     19.000
1978-09-06;--:--;     27.000
1978-09-07;--:--;     19.000
1978-09-08;--:--;     18.000
1978-09-09;--:--;     18.000
1978-09-10;--:--;     18.000
1978-09-11;--:--;     28.000
1978-09-12;--:--;     26.000
1978-09-13;--:--;     17.000
1978-09-14;--:--;     21.000
1978-09-15;--:--;     17.000
1978-09-16;--:--;     19.000
1978-09-17;--:--;     17.000
1978-09-18;--:--;     18.000
1978-09-19;--:--;     16.000
1978-09-20;--:--;     15.000
1978-09-21;--:--;     15.000
1978-09-22;--:--;     21.000
1978-09-23;--:--;     21.000
1978-09-24;--:--;     26.000
1978-09-25;--:--;     30.000
1978-09-26;--:--;     27.000
1978-09-27;--:--;     39.000
1978-09-28;--:--;     19.000
1978-09-29;--:--;     25.000
1978-09-30;--:--;     18.000
1978-10-01;--:--;     15.000
1978-10-02;--:--;     51.000
1978-10-03;--:--;     26.000
1978-10-04;--:--;     21.000
1978-10-05;--:--;     20.000
1978-10-06;--:--;     21.000
1978-10-07;--:--;     19.000
1978-10-08;--:--;     27.000
1978-10-09;--:--;     43.000
1978-10-10;--:--;     47.000
1978-10-11;--:--;     35.000
1978-10-12;--:--;     22.000
1978-10-13;--:--;     27.000
1978-10-14;--:--;     30.000
1978-10-15;--:--;     52.000
1978-10-16;--:--;     53.000
1978-10-17;--:--;     42.000
1978-10-18;--:--;     30.000
1978-10-19;--:--;     37.000
1978-10-20;--:--;     44.000
1978-10-21;--:--;     37.000
1978-10-22;--:--;     47.000
1978-10-23;--:--;    128.000
1978-10-24;--:--;     60.000
1978-10-25;--:--;     89.000
1978-10-26;--:--;    117.000
1978-10-27;--:--;     65.000
1978-10-28;--:--;     61.000
1978-10-29;--:--;     66.000
1978-10-30;--:--;     74.000
1978-10-31;--:--;     41.000
1978-11-01;--:--;     37.000
1978-11-02;--:--;     35.000
1978-11-03;--:--;     30.000
1978-11-04;--:--;     32.000
1978-11-05;--:--;     27.000
1978-11-06;--:--;     35.000
1978-11-07;--:--;     27.000
1978-11-08;--:--;     40.000
1978-11-09;--:--;     43.000
1978-11-10;--:--;     32.000
1978-11-11;--:--;     43.000
1978-11-12;--:--;    120.000
1978-11-13;--:--;    172.000
1978-11-14;--:--;     56.000
1978-11-15;--:--;     49.000
1978-11-16;--:--;     43.000
1978-11-17;--:--;     47.000
1978-11-18;--:--;     52.000
1978-11-19;--:--;     38.000
1978-11-20;--:--;     37.000
1978-11-21;--:--;    162.000
1978-11-22;--:--;     35.000
1978-11-23;--:--;     41.000
1978-11-24;--:--;     35.000
1978-11-25;--:--;     29.000
1978-11-26;--:--;     30.000
1978-11-27;--:--;     25.000
1978-11-28;--:--;     22.000
1978-11-29;--:--;     22.000
1978-11-30;--:--;     19.000
1978-12-01;--:--;     24.000
1978-12-02;--:--;     21.000
1978-12-03;--:--;     25.000
1978-12-04;--:--;     36.000
1978-12-05;--:--;     35.000
1978-12-06;--:--;     38.000
1978-12-07;--:--;     35.000
1978-12-08;--:--;     27.000
1978-12-09;--:--;     28.000
1978-12-10;--:--;     35.000
1978-12-11;--:--;     27.000
1978-12-12;--:--;     27.000
1978-12-13;--:--;     31.000
1978-12-14;--:--;     19.000
1978-12-15;--:--;     21.000
1978-12-16;--:--;     21.000
1978-12-17;--:--;     19.000
1978-12-18;--:--;     17.000
1978-12-19;--:--;     18.000
1978-12-20;--:--;     18.000
1978-12-21;--:--;     15.000
1978-12-22;--:--;     16.000
1978-12-23;--:--;     17.000
1978-12-24;--:--;     14.000
1978-12-25;--:--;     16.000
1978-12-26;--:--;     14.000
