# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103075
# River:                 RIO PALO
# Station:               PTO.TEJADA
# Country:               CO
# Latitude (DD):       3.23
# Longitude (DD):      -76.42
# Catchment area (km²):      1572.0
# Altitude (m ASL):        967.0
# Next downstream station:      3103100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     40.000
1978-01-02;--:--;     36.000
1978-01-03;--:--;     26.000
1978-01-04;--:--;     21.000
1978-01-05;--:--;     22.000
1978-01-06;--:--;     18.000
1978-01-07;--:--;     23.000
1978-01-08;--:--;     18.000
1978-01-09;--:--;     17.000
1978-01-10;--:--;     43.000
1978-01-11;--:--;     90.000
1978-01-12;--:--;     22.000
1978-01-13;--:--;     63.000
1978-01-14;--:--;     53.000
1978-01-15;--:--;     51.000
1978-01-16;--:--;     38.000
1978-01-17;--:--;     21.000
1978-01-18;--:--;     23.000
1978-01-19;--:--;     23.000
1978-01-20;--:--;     19.000
1978-01-21;--:--;     27.000
1978-01-22;--:--;     24.000
1978-01-23;--:--;     16.000
1978-01-24;--:--;     17.000
1978-01-25;--:--;     19.000
1978-01-26;--:--;     17.000
1978-01-27;--:--;     15.000
1978-01-28;--:--;     18.000
1978-01-29;--:--;     14.000
1978-01-30;--:--;     16.000
1978-01-31;--:--;     17.000
1978-02-01;--:--;     14.000
1978-02-02;--:--;     13.000
1978-02-03;--:--;     13.000
1978-02-04;--:--;     11.000
1978-02-05;--:--;     12.000
1978-02-06;--:--;     13.000
1978-02-07;--:--;     15.000
1978-02-08;--:--;     18.000
1978-02-09;--:--;     17.000
1978-02-10;--:--;     14.000
1978-02-11;--:--;     13.000
1978-02-12;--:--;     11.000
1978-02-13;--:--;     12.000
1978-02-14;--:--;     11.000
1978-02-15;--:--;      9.000
1978-02-16;--:--;     10.000
1978-02-17;--:--;      9.000
1978-02-18;--:--;      9.000
1978-02-19;--:--;      9.000
1978-02-20;--:--;      9.000
1978-02-21;--:--;     11.000
1978-02-22;--:--;      9.000
1978-02-23;--:--;      8.000
1978-02-24;--:--;      7.000
1978-02-25;--:--;      7.000
1978-02-26;--:--;     10.000
1978-02-27;--:--;     11.000
1978-02-28;--:--;      9.000
1978-03-01;--:--;     23.000
1978-03-02;--:--;     46.000
1978-03-03;--:--;     17.000
1978-03-04;--:--;     15.000
1978-03-05;--:--;     14.000
1978-03-06;--:--;     12.000
1978-03-07;--:--;     17.000
1978-03-08;--:--;     31.000
1978-03-09;--:--;     27.000
1978-03-10;--:--;     26.000
1978-03-11;--:--;     20.000
1978-03-12;--:--;     11.000
1978-03-13;--:--;     16.000
1978-03-14;--:--;     12.000
1978-03-15;--:--;     12.000
1978-03-16;--:--;     10.000
1978-03-17;--:--;      9.000
1978-03-18;--:--;      9.000
1978-03-19;--:--;      9.000
1978-03-20;--:--;      8.000
1978-03-21;--:--;      9.000
1978-03-22;--:--;      9.000
1978-03-23;--:--;     13.000
1978-03-24;--:--;     12.000
1978-03-25;--:--;      9.000
1978-03-26;--:--;     24.000
1978-03-27;--:--;     15.000
1978-03-28;--:--;     50.000
1978-03-29;--:--;     23.000
1978-03-30;--:--;     43.000
1978-03-31;--:--;     25.000
1978-04-01;--:--;     77.000
1978-04-02;--:--;     50.000
1978-04-03;--:--;     41.000
1978-04-04;--:--;     37.000
1978-04-05;--:--;     35.000
1978-04-06;--:--;     45.000
1978-04-07;--:--;     41.000
1978-04-08;--:--;     27.000
1978-04-09;--:--;     48.000
1978-04-10;--:--;     39.000
1978-04-11;--:--;     27.000
1978-04-12;--:--;     36.000
1978-04-13;--:--;     31.000
1978-04-14;--:--;     32.000
1978-04-15;--:--;     45.000
1978-04-16;--:--;    165.000
1978-04-17;--:--;    121.000
1978-04-18;--:--;    121.000
1978-04-19;--:--;     78.000
1978-04-20;--:--;     88.000
1978-04-21;--:--;     71.000
1978-04-22;--:--;     73.000
1978-04-23;--:--;     55.000
1978-04-24;--:--;     54.000
1978-04-25;--:--;    118.000
1978-04-26;--:--;     81.000
1978-04-27;--:--;     77.000
1978-04-28;--:--;     78.000
1978-04-29;--:--;     87.000
1978-04-30;--:--;     78.000
1978-05-01;--:--;     54.000
1978-05-02;--:--;     69.000
1978-05-03;--:--;     73.000
1978-05-04;--:--;     80.000
1978-05-05;--:--;     63.000
1978-05-06;--:--;     63.000
1978-05-07;--:--;     55.000
1978-05-08;--:--;     51.000
1978-05-09;--:--;     47.000
1978-05-10;--:--;     82.000
1978-05-11;--:--;     54.000
1978-05-12;--:--;     29.000
1978-05-13;--:--;     31.000
1978-05-14;--:--;     30.000
1978-05-15;--:--;     30.000
1978-05-16;--:--;     26.000
1978-05-17;--:--;     28.000
1978-05-18;--:--;     28.000
