# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103440
# River:                 RIO ATA
# Station:               EL CONDOR
# Country:               CO
# Latitude (DD):       3.43
# Longitude (DD):      -75.62
# Catchment area (km²):      1058.0
# Altitude (m ASL):        770.0
# Next downstream station:      3103500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     40.000
1978-01-02;--:--;     66.000
1978-01-03;--:--;     41.000
1978-01-04;--:--;     34.000
1978-01-05;--:--;     31.000
1978-01-06;--:--;     31.000
1978-01-07;--:--;     29.000
1978-01-08;--:--;     29.000
1978-01-09;--:--;     31.000
1978-01-10;--:--;     49.000
1978-01-11;--:--;     45.000
1978-01-12;--:--;     36.000
1978-01-13;--:--;     34.000
1978-01-14;--:--;     30.000
1978-01-15;--:--;     28.000
1978-01-16;--:--;     27.000
1978-01-17;--:--;     27.000
1978-01-18;--:--;     36.000
1978-01-19;--:--;     27.000
1978-01-20;--:--;     25.000
1978-01-21;--:--;     24.000
1978-01-22;--:--;     24.000
1978-01-23;--:--;     24.000
1978-01-24;--:--;     24.000
1978-01-25;--:--;     25.000
1978-01-26;--:--;     32.000
1978-01-27;--:--;     27.000
1978-01-28;--:--;     26.000
1978-01-29;--:--;     29.000
1978-01-30;--:--;     36.000
1978-01-31;--:--;     48.000
1978-02-01;--:--;     55.000
1978-02-02;--:--;     47.000
1978-02-03;--:--;     44.000
1978-02-04;--:--;     32.000
1978-02-05;--:--;     28.000
1978-02-06;--:--;     29.000
