Caudal (m³/s),Elevation (m)
2382.906,1.66
2550.569,1.62
2804.837,1.47
2867.431,1.44
2357.031,1.53
2450.781,1.55
1984.869,1.5
1995.306,1.42
2047.975,1.31
1995.506,4.5
2574.025,4.9
1986.919,5.76
1604.069,4.64
1509.931,4.82
1555.856,4.76
1361.2,4.7
1242.825,4.48
1298.787,1.9
1407.15,2.3
1258.35,2.7
1638.019,2.3
2102.813,2.26
2020.669,2.3
1695.55,2.3
1429.912,2.7
1946.475,3.3
2044.05,2.5
2217.95,3.2
2176.85,2.1
2227.988,2.0
2222.588,2.1
1860.119,1.9
1791.075,1.8
2383.619,2.1
2946.4,1.8
3208.9,1.9
2708.075,1.8
2092.613,1.86
2023.737,2.0
2500.856,2.3
2679.963,2.3
2445.606,2.1
2757.562,2.18
2789.475,2.5
2672.112,2.1
3264.725,2.2
4734.438,2.1
4493.694,3.18
4148.444,2.6
3938.931,2.7
3377.306,2.1
3494.744,2.04
3646.594,2.1
3236.775,2.06
3466.312,2.2
3728.9,2.65
3212.312,2.7
3313.163,3.0
3106.05,2.7
2931.15,2.5
2738.038,2.5
2503.156,3.0
2044.7,3.0
1986.881,2.6
2661.438,3.0
2104.956,3.1
1942.025,3.6
1686.187,3.7
2211.425,3.1
2317.006,3.9
2591.238,3.6
2164.056,4.0
2159.569,3.1
2213.312,2.8
2356.863,2.76
1882.856,3.5
1613.9,2.9
1686.344,2.7
1323.2,2.3
1246.362,2.1
1305.275,2.0
1491.45,2.7
1362.7,2.9
1388.737,2.3
1321.075,3.3
1596.481,2.6
1821.006,2.2
1956.162,2.08
2468.081,2.6
2238.875,3.0
1955.619,2.4
2070.169,2.4
2499.194,1.9
2932.944,2.0
2659.769,2.6
2427.175,2.2
2005.019,2.3
1872.006,2.2
1915.662,2.2
2042.55,2.4
2209.313,2.4
2223.194,2.6
2766.281,2.4
2614.875,2.4
2714.95,2.4
2563.006,3.3
2500.131,3.4
2993.213,3.2
2750.988,3.4
2339.025,3.0
2475.438,3.1
2446.438,3.4
2215.788,3.8
1943.638,3.7
1596.05,4.0
1615.812,3.6
1837.181,3.5
1511.269,3.5
1454.837,3.3
1457.238,2.8
1217.112,2.68
1162.575,3.28
1405.319,2.5
1463.869,3.0
1756.5,3.0
1461.15,2.8
1247.425,2.4
1353.3,2.1
1296.887,2.0
1282.338,2.8
1165.35,2.3
1348.05,2.4
1399.425,2.18
1567.956,2.3
1638.913,1.9
1459.169,2.92
1327.85,2.7
1385.75,2.72
1688.444,1.8
1738.813,1.7
1485.219,1.9
1461.95,2.0
1507.7,2.1
1467.725,2.0
1589.294,2.4
1724.05,2.2
1655.844,2.8
1603.281,2.5
2044.063,2.2
1823.6,2.84
1580.856,2.9
1675.746,3.0
1601.362,3.2
1869.23,3.8
2113.435,3.2
1978.862,3.5
1797.973,3.68
1830.532,3.9
1581.466,3.7
1322.647,3.6
1192.067,3.5
1152.002,4.36
1208.574,4.5
1172.154,4.7
1174.538,3.8
1292.64,3.5
1347.141,3.8
1398.066,3.9
1521.535,3.3
1545.848,3.8
1795.705,3.5
1876.936,3.3
1843.664,3.9
1804.815,4.0
2013.985,4.7
2394.104,4.0
2296.38,3.9
2238.526,3.8
2105.056,3.9
2243.781,4.8
2044.673,4.5
2293.634,4.2
2876.542,4.3
2977.048,4.9
3366.987,4.3
3562.266,5.3
4260.681,5.3
3933.642,4.1
3791.05,4.9
3650.244,3.7
3560.67,3.6
3521.245,3.1
3636.095,3.3
3610.891,2.7
3615.625,2.9
3833.387,3.9
4179.293,4.0
3513.018,4.0
2815.015,4.2
2893.795,4.3
2475.218,3.8
2063.218,3.9
2183.766,4.2
2306.231,4.56
2282.837,5.0
2463.881,4.0
2562.681,4.8
2545.062,4.5
2704.637,3.9
3153.65,4.4
3691.3,4.0
3100.175,4.06
3070.9,3.9
2969.494,3.8
2808.794,3.3
3023.538,3.0
3190.325,3.4
3502.7,3.4
4143.225,3.6
4413.825,3.7
5029.875,3.4
5319.8,3.4
5070.2,3.65
